StartDate,EndDate,Progress,Duration (in seconds),Finished,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Q1,Q2,Q3,Q4,Q5,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q7_0_GROUP,Q7_1_GROUP,Q7_2_GROUP,Q7_0_1_RANK,Q7_0_2_RANK,Q7_0_3_RANK,Q7_0_4_RANK,Q7_0_5_RANK,Q7_0_6_RANK,Q7_0_7_RANK,Q7_0_8_RANK,Q7_0_9_RANK,Q7_0_10_RANK,Q7_0_11_RANK,Q7_0_12_RANK,Q7_0_13_RANK,Q7_0_14_RANK,Q7_1_1_RANK,Q7_1_2_RANK,Q7_1_3_RANK,Q7_1_4_RANK,Q7_1_5_RANK,Q7_1_6_RANK,Q7_1_7_RANK,Q7_1_8_RANK,Q7_1_9_RANK,Q7_1_10_RANK,Q7_1_11_RANK,Q7_1_12_RANK,Q7_1_13_RANK,Q7_1_14_RANK,Q7_2_1_RANK,Q7_2_2_RANK,Q7_2_3_RANK,Q7_2_4_RANK,Q7_2_5_RANK,Q7_2_6_RANK,Q7_2_7_RANK,Q7_2_8_RANK,Q7_2_9_RANK,Q7_2_10_RANK,Q7_2_11_RANK,Q7_2_12_RANK,Q7_2_13_RANK,Q7_2_14_RANK,Q8,Q9,Q10,Q11,Q12,Q12_1_TEXT,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q17,Q18,Q18_24_TEXT,Q19,Q20
7/5/2022 6:54,7/5/2022 6:58,100,227,TRUE,,33.3792,-86.6969,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,"I do not visibly represent any religious symbols.,I prefer not to answer this question.",45,40,60,51,40,"Delta Air Lines,American Airlines","Spirit Airlines,United Airlines","Alaska Airlines,Allegiant Air,Breeze Airways,Avelo Airlines,Eastern Airlines,Frontier Airlines,Hawaiian Airlines,JetBlue,Southwest Airlines,Sun Country Airlines",,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,2,1,2,,4,3,,5,6,7,8,9,,10,,No,No,No,Yes,I prefer not to answer this question.,,I prefer not to answer this question.,25-34 years old,Female,,I prefer not to answer this question.,Asian,Prefer Not to Disclose,,,
7/5/2022 7:43,7/5/2022 7:50,100,447,TRUE,,32.8936,-83.743,anonymous,EN,Yes,Monthly,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,100,100,100,100,100,"Southwest Airlines,Delta Air Lines,United Airlines","Spirit Airlines,Frontier Airlines","Hawaiian Airlines,Alaska Airlines,Allegiant Air,Avelo Airlines,Breeze Airways,Eastern Airlines,Sun Country Airlines",,,,,,2,,,,,1,,,3,,,,,,,,2,,,,1,,,2,3,,4,5,,6,,1,,,,7,,No,No,No,No,No,,No,45-54 years old,Female,,Yes,Multiracial,Other,Unitarian Universalist,Depression,"This survey reveals how privilege has helped me with air travel. My husband is a non-citizen, and he did get harassed once during the Trump admin. I have been searched a few times, but because I dinged or whatever. I'm racially ambiguous--appearing white to some people and mixed to others. I've traveled with a black friend who had her hair searched for the only reason that she had elaborate hair. I have had mask related altercations in airports with people who weren't masking properly during the mandate. "
7/5/2022 8:58,7/5/2022 9:06,100,474,TRUE,,33.844,-84.4784,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,0,0,0,0,,American Airlines,,Spirit Airlines,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,No,No,No,No,I prefer not to answer this question.,,Yes,65+ years old,Female,,I prefer not to answer this question.,Prefer Not to Disclose,Islam,,I prefer not to answer this question.,
7/5/2022 13:00,7/5/2022 13:06,100,363,TRUE,,42.2709,-83.7268,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.,No, I do not know how to file a complaint.",Yes,I do not visibly represent any religious symbols.,51,50,71,50,50,Delta Air Lines,Spirit Airlines,"Alaska Airlines,Frontier Airlines,Sun Country Airlines,JetBlue,Eastern Airlines,Breeze Airways,Allegiant Air,Avelo Airlines",,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,7,,8,6,,5,2,,4,,,3,,No,No,No,No,No,,Yes,55-64 years old,Female,,Yes,American Indian or Alaska Native,Atheism/Agnosticism,,I do not suffer from any chronic illness.,
7/5/2022 19:22,7/5/2022 19:26,100,257,TRUE,,41.3728,-73.8502,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.,No, I do not know how to file a complaint.",No,"Your Name,Muslim Headscarf / Hijab",40,41,25,42,40,"Frontier Airlines,Delta Air Lines,Spirit Airlines,Allegiant Air,JetBlue,American Airlines,Southwest Airlines","Alaska Airlines,United Airlines","Hawaiian Airlines,Breeze Airways,Eastern Airlines,Avelo Airlines,Sun Country Airlines",,4,6,,,2,,1,,5,7,3,,,1,,,,,,,,,,,,,2,,,,4,2,,3,,1,,,,5,,No,No,No,No,Yes,"Making sure we only speak English in public, avoid dresses",Yes,35-44 years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/6/2022 1:26,7/6/2022 1:30,100,232,TRUE,,41.8882,-87.6164,anonymous,EN,Yes,Monthly,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,Your Name,30,50,0,50,50,United Airlines,"Alaska Airlines,Delta Air Lines,Southwest Airlines,American Airlines","Breeze Airways,Avelo Airlines,Allegiant Air,Frontier Airlines,Eastern Airlines,Hawaiian Airlines,JetBlue,Spirit Airlines,Sun Country Airlines",,,,,,,,,,,,,,1,1,,4,,,2,,,,,3,,,,,3,,2,1,,5,4,6,7,,8,9,,Yes,No,No,Yes,Yes,,Yes,25-34 years old,Male,,No,Asian,Islam,,I do not suffer from any chronic illness.,
7/6/2022 8:16,7/6/2022 8:27,100,679,TRUE,,42.3608,-71.2954,anonymous,EN,Yes,<3 times per year,I prefer not to answer this question.,"No, I have not filed a complaint.",No,Your Name,31,42,27,59,36,"Delta Air Lines,Spirit Airlines,Southwest Airlines","United Airlines,American Airlines,JetBlue,Eastern Airlines","Alaska Airlines,Allegiant Air,Avelo Airlines,Breeze Airways,Sun Country Airlines,Frontier Airlines,Hawaiian Airlines",,,,,,1,,,,,3,2,,,,,2,,,,4,,,3,,,,1,1,2,,3,4,,,6,7,,,,5,,No,No,No,No,No,,Yes,65+ years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,There are passengers can be racist but nothing to do with airline or travel. 
7/7/2022 16:53,7/7/2022 16:58,100,330,TRUE,,53.5041,-7.1454,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,54,56,57,57,57,"Southwest Airlines,Delta Air Lines,JetBlue",,"Frontier Airlines,Allegiant Air,Avelo Airlines,Sun Country Airlines,Breeze Airways,Eastern Airlines,Spirit Airlines",,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,2,,3,5,,6,1,,,,7,4,,No,No,No,No,No,,Yes,55-64 years old,Female,,Yes,White,Christianity,,I do not suffer from any chronic illness.,
7/4/2022 6:57,7/4/2022 7:24,67,1628,FALSE,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022 7:31,7/4/2022 7:33,43,80,FALSE,,,,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55-64 years old,Male,,Yes,White,Other,none,,
7/4/2022 7:25,7/4/2022 7:35,90,609,FALSE,,,,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.,Yes, on the basis of sex.","No, I have not filed a complaint.",Yes,I do not visibly represent any religious symbols.,50,50,67,54,86,"Allegiant Air,JetBlue,Spirit Airlines,Southwest Airlines,Delta Air Lines","Hawaiian Airlines,Frontier Airlines","United Airlines,Sun Country Airlines",,1,,,,5,,,,2,4,3,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,2,1,No,No,No,No,,,No,18-24 years old,Female,,Yes,Asian,Islam,,Depression,
7/4/2022 7:37,7/4/2022 7:46,52,558,FALSE,,,,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-44 years old,Female,,Yes,White,Other,"I probably fall somewhere between agnostic and Buddhist, but appreciate teachings of other religions",,
7/4/2022 8:33,7/4/2022 8:35,57,136,FALSE,,,,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of race.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,56,80,79,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-54 years old,Female,,Yes,Black of African American,African Diaspora Religion,,,
7/4/2022 8:34,7/4/2022 8:36,43,87,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.","No, I have not filed a complaint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-54 years old,Female,,Yes,Asian,Atheism/Agnosticism,,,
7/4/2022 9:37,7/4/2022 9:39,57,131,FALSE,,,,anonymous,EN,Yes,I do not travel by commercial airline.,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34 years old,Female,,No,Asian,Islam,,,
7/4/2022 9:40,7/4/2022 9:44,57,263,FALSE,,,,anonymous,EN,Yes,,No,I prefer not to answer this question.,No,I prefer not to answer this question.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-44 years old,Prefer Not to Answer,,Yes,Prefer Not to Disclose,Prefer Not to Disclose,,,
7/4/2022 9:40,7/4/2022 9:45,95,296,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.,No, I do not know how to file a complaint.",No,"Muslim Headscarf / Hijab,Long beard,Turban",62,,31,69,75,"Delta Air Lines,JetBlue,Frontier Airlines",,"Southwest Airlines,Sun Country Airlines,Alaska Airlines,Hawaiian Airlines,Eastern Airlines",,,,,,1,,3,,2,,,,,,,,,,,,,,,,,,,3,,,,,,5,,4,,1,,2,,No,No,No,No,Yes,,Yes,25-34 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 10:07,7/4/2022 10:10,90,162,FALSE,,,,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I do not know how to file a complaint.",No,I do not visibly represent any religious symbols.,36,54,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,I prefer not to answer this question.,No,I prefer not to answer this question.,,,Yes,25-34 years old,Male,,No,Asian,Islam,,I prefer not to answer this question.,
7/4/2022 10:14,7/4/2022 10:15,5,19,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022 10:21,7/4/2022 10:22,24,66,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-44 years old,Male,,Yes,Asian,Islam,,,
7/4/2022 10:23,7/4/2022 10:25,52,94,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34 years old,Male,,Yes,Asian,Islam,,,
7/4/2022 7:33,7/4/2022 10:49,52,11775,FALSE,,,,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,I prefer not to answer this question.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-54 years old,Male,,No,Some Other Race,Islam,,,
7/4/2022 12:10,7/4/2022 12:10,14,37,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Asian,,,,
7/4/2022 12:34,7/4/2022 12:36,0,117,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022 12:38,7/4/2022 12:39,29,72,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-24 years old,Male,,Yes,Asian,Islam,,,
7/4/2022 13:39,7/4/2022 13:41,67,163,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34 years old,Male,,I prefer not to answer this question.,Prefer Not to Disclose,Prefer Not to Disclose,,I prefer not to answer this question.,
7/4/2022 13:48,7/4/2022 13:48,29,31,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34 years old,Male,,No,Asian,Islam,,,
7/4/2022 15:01,7/4/2022 15:03,57,130,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,"Muslim Headscarf / Hijab,I do not visibly represent any religious symbols.",100,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-44 years old,Male,,No,Asian,Islam,,,
7/4/2022 15:08,7/4/2022 15:09,33,77,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Black of African American,Other,,,
7/4/2022 15:35,7/4/2022 15:38,48,162,FALSE,,,,anonymous,EN,Yes,Monthly,"Yes, on the basis of race.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55-64 years old,Male,,Yes,Asian,Hinduism,,,
7/11/2022 21:09,7/11/2022 21:13,100,267,TRUE,,51.7219,0.4811,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,Your Name,100,100,90,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,45-54 years old,Male,,Yes,White,Islam,,Arthritis,
7/4/2022 23:32,7/4/2022 23:33,0,19,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022 23:50,7/4/2022 23:51,29,36,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Your Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2022 7:06,7/5/2022 7:07,10,30,FALSE,,,,anonymous,EN,Yes,<3 times per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2022 8:40,7/5/2022 8:42,33,128,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,Your Name,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2022 9:02,7/6/2022 9:10,90,534,FALSE,,,,anonymous,EN,Yes,Monthly,"Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,50,50,10,10,50,Delta Air Lines,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,No,,Yes,35-44 years old,Female,,Yes,,Islam,,,
7/6/2022 10:36,7/6/2022 10:38,33,134,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of religion.","No, I have not filed a complaint.,No, I do not know how to file a complaint.",No,"Your Name,Muslim Headscarf / Hijab",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2022 1:23,7/14/2022 1:29,100,355,TRUE,,34.6923,-82.2919,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of sex.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,45,47,24,47,45,"Southwest Airlines,American Airlines,United Airlines","Delta Air Lines,JetBlue","Frontier Airlines,Eastern Airlines,Sun Country Airlines,Spirit Airlines,Avelo Airlines,Hawaiian Airlines,Breeze Airways,Allegiant Air,Alaska Airlines",,,2,,,,,,,,1,,,3,,,,,,1,,,,2,,,,,9,8,,5,7,,2,1,6,,,4,3,,No,No,No,No,No,,No,55-64 years old,Female,,Yes,Black of African American,Prefer Not to Disclose,,I do not suffer from any chronic illness.,"I was profiled as a drug courier based on my youth, race, gender during international travel"
7/5/2022 16:58,7/9/2022 19:25,29,354418,FALSE,,,,anonymous,EN,Yes,4-6 times per year,,"No, I have not filed a complaint.",,I do not visibly represent any religious symbols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2022 8:17,7/18/2022 8:20,100,194,TRUE,,36.039,-78.878,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,"Your Name,Long beard",50,50,50,50,50,"United Airlines,Delta Air Lines,Southwest Airlines,American Airlines",Spirit Airlines,"Alaska Airlines,Allegiant Air,Hawaiian Airlines,Avelo Airlines,Breeze Airways,Eastern Airlines,Sun Country Airlines,Frontier Airlines,JetBlue",,,4,,,2,,,,,3,,,1,,,,,,,,,,,,1,,,1,2,,4,5,,6,8,3,9,,,7,,No,No,No,No,No,,Yes,35-44 years old,Male,,Yes,Black of African American,Christianity,,I do not suffer from any chronic illness.,
7/11/2022 11:36,7/11/2022 11:36,10,16,FALSE,,,,anonymous,EN,Yes,4-6 times per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2022 16:16,7/26/2022 16:32,48,967,FALSE,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 7:15,8/9/2022 7:26,100,646,TRUE,,39.0258,-77.3983,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,I do not visibly represent any religious symbols.",60,63,70,70,40,United Airlines,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,,Yes,55-64 years old,Male,,Yes,Asian,Islam,,I prefer not to answer this question.,"Used to get SSSS on my boarding card a lot, but not so much now"
8/9/2022 9:19,8/9/2022 9:23,100,257,TRUE,,42.7273,-73.6696,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,Your Name,51,51,52,51,50,,,"Allegiant Air,Avelo Airlines,Hawaiian Airlines,Sun Country Airlines,Breeze Airways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,5,,,,3,,,,4,,No,No,No,No,No,,Yes,55-64 years old,Male,,I prefer not to answer this question.,Asian,Islam,,I prefer not to answer this question.,
8/9/2022 9:54,8/9/2022 10:02,100,422,TRUE,,40.4551,-74.4871,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,50,50,50,United Airlines,,"Hawaiian Airlines,Spirit Airlines",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,No,No,No,No,No,,Yes,55-64 years old,Male,,Yes,Some Other Race,Islam,,,
8/9/2022 10:23,8/9/2022 10:28,100,297,TRUE,,40.2104,-74.8278,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,Muslim Headscarf / Hijab,Long beard",41,40,21,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,45-54 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
8/9/2022 10:41,8/9/2022 10:48,100,412,TRUE,,39.9945,-75.1648,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I do not know how to file a complaint.",No,"Your Name,Muslim Headscarf / Hijab",,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,No,,Yes,25-34 years old,Male,,Yes,Asian,Islam,,Depression,WHENEVER I TRAVEL THEY CHOSE ME FOR SECONDARY WITH MY 8 AND 9 YEAR OLD KIDS. 
8/9/2022 11:24,8/9/2022 11:30,100,315,TRUE,,42.2886,-83.4641,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,Your Name,52,50,50,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,Contacted US Senator's office ,Yes,55-64 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
8/9/2022 11:04,8/9/2022 11:31,100,1625,TRUE,,41.9704,-87.7036,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,"Your Name,I do not visibly represent any religious symbols.,I prefer not to answer this question.",5,89,1,2,80,"American Airlines,United Airlines,Delta Air Lines","Spirit Airlines,JetBlue,Southwest Airlines","Sun Country Airlines,Allegiant Air,Eastern Airlines,Frontier Airlines,Alaska Airlines,Breeze Airways,Hawaiian Airlines",,,1,,,3,,,,,,,,2,,,,,,,,,,2,3,1,,,5,2,,,6,,3,4,7,,,,1,,No,No,No,Yes,Yes,,Yes,55-64 years old,Male,,Yes,Asian,Islam,,I prefer not to answer this question.,"1) once on  Miami airport, was coming from carribean i missed my flight to back home (Chicago). He asked one question ""why did I traveled to Saudi Arabia?"" The answer was obvious ""to visit holy places in Islam "" but my flights was missed ....i had to check-in to hotel to take early morning flight 2) once on Boston airport they stripped seach me to the extent that i was almost feeling naked"
8/9/2022 11:46,8/9/2022 11:54,100,486,TRUE,,33.7233,73.0435,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,Your Name,15,45,45,50,40,"Spirit Airlines,Delta Air Lines",,"Sun Country Airlines,JetBlue,Hawaiian Airlines,Breeze Airways,Avelo Airlines,Allegiant Air,Alaska Airlines",,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,7,6,,5,4,,,,3,2,,,1,,No,Yes,No,Yes,No,,Yes,35-44 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,"I usually don't have any issue during domestic air travel but almost been sent for secondary ""random security check"" and being interrogated as if I am a terrorist or some other type of criminal. "
8/9/2022 11:49,8/9/2022 11:55,100,374,TRUE,,42.3313,-83.4656,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,50,50,50,Delta Air Lines,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,55-64 years old,Male,,Yes,Some Other Race,Islam,,Asthma,
8/9/2022 10:04,8/9/2022 12:22,100,8304,TRUE,,40.7041,-73.6184,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,"Muslim Headscarf / Hijab,Long beard",76,78,74,79,74,American Airlines,Spirit Airlines,Sun Country Airlines,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,No,No,No,No,No,,Yes,55-64 years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,"After 9/11 they start stopping me and asking me few questions, then an agent advice me to start using my middle name everywhere. So I did and then no more stopping"
8/9/2022 12:23,8/9/2022 12:29,100,358,TRUE,,40.7041,-73.6184,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,Muslim Headscarf / Hijab,Long beard",69,73,70,62,77,American Airlines,JetBlue,Sun Country Airlines,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,No,No,No,No,No,,Yes,55-64 years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,Since 9/11 they were questioning me at the US local airports and then an agent asked me that I should add my full middle name so I started using my middle name and then never questioned on US local airports 
8/9/2022 12:31,8/9/2022 12:37,100,400,TRUE,,40.7009,-73.9461,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,I do not visibly represent any religious symbols.",71,,67,54,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,I prefer not to answer this question.,45-54 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,Once I have been stoped by Custom people at JFK Airport .. very Long discussions with them too long to write.. worst experience.. felt i was target purposely 
8/9/2022 12:39,8/9/2022 12:42,100,194,TRUE,,40.8681,-73.4094,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,Muslim Headscarf / Hijab",50,49,15,66,64,JetBlue,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,35-44 years old,Female,,Yes,Asian,,,I do not suffer from any chronic illness.,While arriving back from international travel the immigration Al female office was very rude to me saying to step back and snatching passports from my hands
8/9/2022 12:57,8/9/2022 13:05,100,455,TRUE,,37.4371,-121.8954,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of race.","No, I have not filed a complaint.",No,"Your Name,I do not visibly represent any religious symbols.",50,50,50,50,50,"Southwest Airlines,Spirit Airlines,JetBlue,American Airlines,Alaska Airlines,Frontier Airlines,Delta Air Lines,United Airlines,Hawaiian Airlines",,"Allegiant Air,Breeze Airways,Avelo Airlines,Sun Country Airlines,Eastern Airlines",5,,4,,,7,,6,9,3,1,2,,8,,,,,,,,,,,,,,,,1,,3,2,,5,,,,,,4,,No,No,No,No,Yes,Global Entry/Known Traveler ID,Yes,45-54 years old,Male,,No,Asian,Islam,,I do not suffer from any chronic illness.,
